,actor,director,count
0,Ralph Macchio,John G. Avildsen,4
1,Marlon Wayans,Michael Tiddes,4
2,Scott Adkins,Jesse V. Johnson,4
3,Martin Kove,John G. Avildsen,4
4,Hugo Weaving,Lana Wachowski,4
5,Hugo Weaving,Lilly Wachowski,4
6,Pat Morita,John G. Avildsen,4
7,Carrie-Anne Moss,Lana Wachowski,3
8,Adam Sandler,Steve Brill,3
9,April Lawrence,Tim Johnson,3
10,Brian Stepanek,Tim Johnson,3
11,Sylvester Stallone,Sylvester Stallone,3
12,Jennifer Lopez,Tim Johnson,3
13,Sharon Stone,Paul Verhoeven,3
14,Michael Madsen,Quentin Tarantino,3
15,Matt Jones,Tim Johnson,3
16,Samuel L. Jackson,Quentin Tarantino,3
17,Judi Dench,Martin Campbell,3
18,Keanu Reeves,Lilly Wachowski,3
19,Laurence Fishburne,Lilly Wachowski,3
20,Uma Thurman,Quentin Tarantino,3
21,Burt Young,Sylvester Stallone,3
22,Carl Weathers,Sylvester Stallone,3
23,Randee Heller,John G. Avildsen,3
24,Doug Jones,Guillermo del Toro,3
25,William Zabka,John G. Avildsen,3
26,Tony Burton,Sylvester Stallone,3
27,Will Ferrell,Adam McKay,3
28,Talia Shire,Sylvester Stallone,3
29,Rihanna,Tim Johnson,3
30,Jim Parsons,Tim Johnson,3
31,Steve Martin,Tim Johnson,3
32,Mindy Sterling,Jay Roach,3
33,Clint Eastwood,Clint Eastwood,3
34,Jacob Elordi,Vince Marcello,3
35,Joel Courtney,Vince Marcello,3
36,Joey King,Vince Marcello,3
37,Molly Ringwald,Vince Marcello,3
38,Keanu Reeves,Lana Wachowski,3
39,Seth Green,Jay Roach,3
40,Laurence Fishburne,Lana Wachowski,3
41,Robert Wagner,Jay Roach,3
42,Carrie-Anne Moss,Lilly Wachowski,3
43,Rob Schneider,Dennis Dugan,3
44,Harrison Ford,Steven Spielberg,3
45,Adam Sandler,Frank Coraci,3
46,Adam Sandler,Dennis Dugan,3
47,Mike Myers,Jay Roach,3
48,Michael York,Jay Roach,3
49,Vladimir Kulich,Jesse V. Johnson,2
50,Janel Parrish,Michael Fimognari,2
51,John Corbett,Michael Fimognari,2
52,Harry Gold,Brian De Palma,2
53,Doug Cox,Brian De Palma,2
54,Lana Condor,Michael Fimognari,2
55,Noah Centineo,Michael Fimognari,2
56,Trezzo Mahoro,Michael Fimognari,2
57,Ross Butler,Michael Fimognari,2
58,Darby Camp,Brandon Camp,2
59,Gabriel Bateman,Brandon Camp,2
60,Betty Buckley,Brian De Palma,2
61,Amy Irving,Brian De Palma,2
62,Macon Blair,Jeremy Saulnier,2
63,Angus Sampson,Brandon Camp,2
64,Steve Buscemi,Steve Brill,2
65,Will Rothhaar,Brandon Camp,2
66,Brady Permenter,Brandon Camp,2
67,Kiele Sanchez,Brandon Camp,2
68,Jim Gleason,Brandon Camp,2
69,Jerod Haynes,Brandon Camp,2
