,director,budget
0,Theodore Melfi,100.0
1,Dennis Dugan,297.0
2,Scott Stewart,29.5
3,Robert Luketic,176.0
4,Steven Spielberg,682.0
5,Jeannot Szwarc,20.0
6,Joseph Sargent,23.0
7,Daniel Espinosa,85.0
8,Antoine Fuqua,190.0
9,Cedric Nicolas-Troyan,37.8
10,Alice Waddington,6.0
11,Mark Rosman,19.0
12,Neill Blomkamp,79.0
13,Phillip Noyce,147.0
14,Renny Harlin,157.0
15,Anthony Minghella,120.0
16,Simon Wincer,65.0
17,Spike Lee,6.0
18,Sebastián Schindel,92.4
19,Steven C. Miller,80.0
20,Richard LaGravenese,51.0
21,Martin Campbell,472.0
22,Reginald Hudlin,14.5
23,Jim Henson,40.0
24,Gary Winick,30.0
25,Danishka Esterhazy,53.7409
26,Tim Burton,280.0
27,Kinka Usher,68.0
28,Sergio Leone,30.0
29,Matthew O'Callaghan,39.1201686
30,Todd Wilderman,39.1201686
31,Bobby Farrelly,155.0
32,Peter Farrelly,155.0
33,Richard Linklater,20.0
34,Randal Kleiser,10.5
35,Michael Ritchie,12.0
36,J. Lee Thompson,6.0
37,Evan Goldberg,44.0
38,Seth Rogen,44.0
39,Tom Shadyac,230.0
40,Malcolm D. Lee,27.5
41,Wolfgang Petersen,125.0
42,Taylor Sheridan,11.0
43,Roger Donaldson,151.0
44,Christopher Alender,148.2
45,David Oyelowo,57.0
46,Brian Andrew Mendoza,103.0
47,Steve Brill,165.8000002
48,Jane Campion,7.0
49,Ferdinando Cito Filomarino,120.0
50,Vince Marcello,291.1
51,Kirk DeMicco,125.0
52,Brandon Jeffords,125.0
53,Peter Winther,88.9405238
54,Brian Levant,140.1001686
55,Rod Daniel,15.0
56,Robert Zemeckis,410.0
57,Phil Lord,100.0
58,Christopher Miller,100.0
59,John Hughes,6.0
60,Justin Baldoni,7.0
61,Mark Helfrich,25.0
62,Christopher Nolan,160.0
63,Nick Castle,44.3682258
64,David Gordon Green,26.0
65,Clint Eastwood,183.7
66,Kelly Fremon Craig,9.0
67,Tony Scott,29.0
68,Brad Furman,40.0
69,Sylvain White,25.0
70,Brad Anderson,133.97050059999998
71,Irwin Winkler,22.0
72,Daniel Markowicz,159.0
73,Yuval Adler,4.57
74,Quentin Tarantino,300.0
75,Sofia Coppola,10.0
76,Colin Trevorrow,10.0
77,David Slade,68.0
78,Chris Weitz,50.0
79,Catherine Hardwicke,57.0
80,Ash Brannon,85.0
81,Chris Buck,230.0
82,Roberto De Feo,190.74
83,Paolo Strippoli,190.74
84,Nima Nourizadeh,28.0
85,Hallie Meyers-Shyer,15.0
86,Scott Speer,2.8
87,Camille Delamarre,28.0
88,Bong Joon Ho,40.0
89,Ernie Barbarash,100.0
90,Jay Roach,185.0
91,Paul Thomas Anderson,77.5
92,McG,593.2
93,John Stevenson,130.0
94,Mark Osborne,207.5
95,Jennifer Yuh Nelson,150.0
